Sample,Soil_Type,Experimental_Year,Tillage,Int,Block,ID2,Tillage_norm,Fertilization_norm,C[%],C/N,N[%],Fe[mg/100g],K2O[mg/100g],Cu[mg/kg],Mg[mg/100g],Mn[mg/kg],Na[mg/kg],NH4-N[mg/100g],NO3-N[mg/100g],OM[%],P2O5[mg/100g],pH,DM[%],Zn[mg/kg]
FS.MP.Ext.C4.2020.trimmed,RAS,2020,MP,Ext,4,FS.MP.Ext.C4.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
FS.MP.Int.C1.2020.trimmed,RAS,2020,MP,Int,1,FS.MP.Int.C1.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
FS.MP.Int.C2.2020.trimmed,RAS,2020,MP,Int,2,FS.MP.Int.C2.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
FS.MP.Int.C3.2020.trimmed,RAS,2020,MP,Int,3,FS.MP.Int.C3.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
FS.MP.Int.C4.2020.trimmed,RAS,2020,MP,Int,4,FS.MP.Int.C4.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
RH.CT.Ext.C1.2020.trimmed,RH,2020,CT,Ext,1,RH.CT.Ext.C1.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
RH.CT.Ext.C2.2020.trimmed,RH,2020,CT,Ext,2,RH.CT.Ext.C2.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
RH.CT.Ext.C3.2020.trimmed,RH,2020,CT,Ext,3,RH.CT.Ext.C3.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
RH.CT.Ext.C4.2020.trimmed,RH,2020,CT,Ext,4,RH.CT.Ext.C4.2020.trimmed,Cultivator,extensive,2.04,11.841094771241824,0.1725,2.1500000000000004,21.25,2.475,8.425,119.0,10.0,0.031,0.42,3.4,8.675,7.5,82.225,3.375
RH.CT.Int.C1.2020.trimmed,RH,2020,CT,Int,1,RH.CT.Int.C1.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
RH.CT.Int.C2.2020.trimmed,RH,2020,CT,Int,2,RH.CT.Int.C2.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
RH.CT.Int.C3.2020.trimmed,RH,2020,CT,Int,3,RH.CT.Int.C3.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
RH.CT.Int.C4.2020.trimmed,RH,2020,CT,Int,4,RH.CT.Int.C4.2020.trimmed,Cultivator,intensive,2.1125,11.906045751634,0.1775,2.425,20.3,2.55,9.325000000000001,141.5,8.75,0.06175,0.4945,3.475,9.3,7.475,83.85,3.575
RH.MP.Ext.C1.2020.trimmed,RH,2020,MP,Ext,1,RH.MP.Ext.C1.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
RH.MP.Ext.C2.2020.trimmed,RH,2020,MP,Ext,2,RH.MP.Ext.C2.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
RH.MP.Ext.C3.2020.trimmed,RH,2020,MP,Ext,3,RH.MP.Ext.C3.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
RH.MP.Ext.C4.2020.trimmed,RH,2020,MP,Ext,4,RH.MP.Ext.C4.2020.trimmed,Plough,extensive,1.7875,12.123809523809525,0.1475,2.525,19.3,2.875,8.05,133.25,11.5,0.062,0.367,2.975,11.1,7.525,83.525,4.125
RH.MP.Int.C1.2020.trimmed,RH,2020,MP,Int,1,RH.MP.Int.C1.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
RH.MP.Int.C2.2020.trimmed,RH,2020,MP,Int,2,RH.MP.Int.C2.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
RH.MP.Int.C3.2020.trimmed,RH,2020,MP,Int,3,RH.MP.Int.C3.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
RH.MP.Int.C4.2020.trimmed,RH,2020,MP,Int,4,RH.MP.Int.C4.2020.trimmed,Plough,intensive,1.7850000000000001,11.908779761904775,0.15,2.7,18.45,2.9000000000000004,8.925,146.75,11.75,0.04625,0.6895,2.925,15.45,7.475,83.575,4.15
FSCTExtC1.2021.trimmed,RAS,2021,CT,Ext,1,FSCTExtC1.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
FSCTExtC2.2021.trimmed,RAS,2021,CT,Ext,2,FSCTExtC2.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
FSCTExtC3.2021.trimmed,RAS,2021,CT,Ext,3,FSCTExtC3.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
FSCTExtC4.2021.trimmed,RAS,2021,CT,Ext,4,FSCTExtC4.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
FSCTIntC1.2021.trimmed,RAS,2021,CT,Int,1,FSCTIntC1.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
FSCTIntC2.2021.trimmed,RAS,2021,CT,Int,2,FSCTIntC2.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
FSCTIntC3.2021.trimmed,RAS,2021,CT,Int,3,FSCTIntC3.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
FSCTIntC4.2021.trimmed,RAS,2021,CT,Int,4,FSCTIntC4.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
FSMPExtC1.2021.trimmed,RAS,2021,MP,Ext,1,FSMPExtC1.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
FSMPExtC2.2021.trimmed,RAS,2021,MP,Ext,2,FSMPExtC2.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
FSMPExtC3.2021.trimmed,RAS,2021,MP,Ext,3,FSMPExtC3.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
FSMPExtC4.2021.trimmed,RAS,2021,MP,Ext,4,FSMPExtC4.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
FSMPIntC1.2021.trimmed,RAS,2021,MP,Int,1,FSMPIntC1.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
FSMPIntC2.2021.trimmed,RAS,2021,MP,Int,2,FSMPIntC2.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
FSMPIntC3.2021.trimmed,RAS,2021,MP,Int,3,FSMPIntC3.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
FSMPIntC4.2021.trimmed,RAS,2021,MP,Int,4,FSMPIntC4.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
RHCTExtC1.2021.trimmed,RH,2021,CT,Ext,1,RHCTExtC1.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
RHCTExtC2.2021.trimmed,RH,2021,CT,Ext,2,RHCTExtC2.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
RHCTExtC3.2021.trimmed,RH,2021,CT,Ext,3,RHCTExtC3.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
RHCTExtC4.2021.trimmed,RH,2021,CT,Ext,4,RHCTExtC4.2021.trimmed,Cultivator,extensive,1.9866589327146171,10.192789107339113,0.195,2.625,37.125,2.675,8.75,127.75,7.0,0.044000000000000004,0.46475,3.425,15.9,7.425000000000001,87.225,4.275
RHCTIntC1.2021.trimmed,RH,2021,CT,Int,1,RHCTIntC1.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
RHCTIntC2.2021.trimmed,RH,2021,CT,Int,2,RHCTIntC2.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
RHCTIntC3.2021.trimmed,RH,2021,CT,Int,3,RHCTIntC3.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
RHCTIntC4.2021.trimmed,RH,2021,CT,Int,4,RHCTIntC4.2021.trimmed,Cultivator,intensive,2.117169373549884,9.962485310513154,0.2125,3.225,39.65,3.025,11.625,230.75,7.5,0.063,0.8552500000000001,3.65,24.55,7.275,86.35,5.05
RHMPExtC1.2021.trimmed,RH,2021,MP,Ext,1,RHMPExtC1.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
RHMPExtC2.2021.trimmed,RH,2021,MP,Ext,2,RHMPExtC2.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
RHMPExtC3.2021.trimmed,RH,2021,MP,Ext,3,RHMPExtC3.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
RHMPExtC4.2021.trimmed,RH,2021,MP,Ext,4,RHMPExtC4.2021.trimmed,Plough,extensive,1.5516241299303943,10.011842614075793,0.155,2.825,22.65,2.65,7.55,168.0,7.75,0.04075,0.3245,2.675,12.5,7.425000000000001,87.275,3.925
RHMPIntC1.2021.trimmed,RH,2021,MP,Int,1,RHMPIntC1.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
RHMPIntC2.2021.trimmed,RH,2021,MP,Int,2,RHMPIntC2.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
RHMPIntC3.2021.trimmed,RH,2021,MP,Int,3,RHMPIntC3.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
RHMPIntC4.2021.trimmed,RH,2021,MP,Int,4,RHMPIntC4.2021.trimmed,Plough,intensive,1.5661252900232019,9.802144465674901,0.16,4.3,23.475,3.1500000000000004,9.225,278.75,7.25,0.04825,0.438,2.7,13.075,7.25,87.325,4.75
Run20200122Order306Sample130,RAS,2019,MP,Int,3,,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample131,RAS,2019,MP,Int,4,Run20200122Order306Sample131,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample132,RAS,2019,MP,Ext,1,Run20200122Order306Sample132,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample133,RAS,2019,MP,Ext,2,Run20200122Order306Sample133,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample134,RAS,2019,MP,Ext,3,Run20200122Order306Sample134,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample135,RAS,2019,MP,Ext,4,Run20200122Order306Sample135,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample136,RAS,2019,CT,Int,1,Run20200122Order306Sample136,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200122Order306Sample137,RAS,2019,CT,Int,2,Run20200122Order306Sample137,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200122Order306Sample138,RAS,2019,CT,Int,3,,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200122Order306Sample139,RAS,2019,CT,Int,4,Run20200122Order306Sample139,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200122Order306Sample140,RAS,2019,CT,Ext,1,Run20200122Order306Sample140,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200122Order306Sample141,RAS,2019,CT,Ext,2,Run20200122Order306Sample141,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200122Order306Sample142,RAS,2019,CT,Ext,3,Run20200122Order306Sample142,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200122Order306Sample143,RAS,2019,CT,Ext,4,Run20200122Order306Sample143,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200122Order306Sample144,RH,2019,MP,Int,1,Run20200122Order306Sample144,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample145,RH,2019,MP,Int,2,Run20200122Order306Sample145,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample146,RH,2019,MP,Int,3,,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample147,RH,2019,MP,Int,4,Run20200122Order306Sample147,Plough,intensive,1.890004125,14.466005169214625,0.13075,1.63993,17.7625,1.4563,6.90047045,19.7994,10.468575,0.023,1.21775,2.6237933125,17.9125,7.575,91.15,2.0282
Run20200122Order306Sample148,RH,2019,MP,Ext,1,Run20200122Order306Sample148,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample149,RH,2019,MP,Ext,2,Run20200122Order306Sample149,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample150,RH,2019,MP,Ext,3,Run20200122Order306Sample150,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample151,RH,2019,MP,Ext,4,Run20200122Order306Sample151,Plough,extensive,1.65980145,13.588461779866876,0.12225,1.8753600000000001,18.5375,1.9121000000000001,6.743616525,31.141924999999997,10.828825,0.0215,0.2485,2.449501438,23.75,7.5125,91.675,2.4919000000000002
Run20200122Order306Sample152,RH,2019,CT,Int,1,Run20200122Order306Sample152,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200220Order306Sample153,RH,2019,CT,Int,2,Run20200220Order306Sample153,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200220Order306Sample154,RH,2019,CT,Int,3,Run20200220Order306Sample154,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200220Order306Sample155,RH,2019,CT,Int,4,Run20200220Order306Sample155,Cultivator,intensive,2.3222026500000004,12.385170788714625,0.18775,4.4436,47.9375,3.1402,10.481147575,170.3601,13.60625,0.01925,1.05525,3.7539712962,45.05,7.3125,91.55,5.3489249999999995
Run20200220Order306Sample156,RH,2019,CT,Ext,1,Run20200220Order306Sample156,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200220Order306Sample157,RH,2019,CT,Ext,2,Run20200220Order306Sample157,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200220Order306Sample158,RH,2019,CT,Ext,3,Run20200220Order306Sample158,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
Run20200220Order306Sample159,RH,2019,CT,Ext,4,Run20200220Order306Sample159,Cultivator,extensive,2.19825015,12.322232421920075,0.17875,3.30293,49.6,2.982375,9.40990745,173.101275,12.433724999999999,0.03025,0.4355,3.4909429436,38.5625,7.32,91.85,5.297925
