dataset_id,sample_id,site_id,year,intervention,control_flag,microbiome_available,soil_chemistry_available,outcome_available,soil_ph,total_carbon,total_nitrogen,organic_matter,cec,phosphorus,potassium,yield_value,outcome_type,notes
bonares_westerfeld,WESTERFELD_11_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.29,1.7579623,0.151,2.883935646,,14.45,17.05,63.9470930232558,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_12_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.35,1.8234256,0.153,2.9949269384,,22.05,22.15,65.5509043927649,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_13_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.01,2.0979583,0.174,3.4398339292,,15.4,30.6,62.1255813953488,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_14_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.9,2.3267859,0.252,3.8945084144,,17.5,30.65,63.4693798449612,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_15_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.03,1.766257,0.157,3.0601863724,,10.9,14.95,62.9945736434109,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_16_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.44,1.7869259,0.144,2.97487406,,16.75,23.2,65.18669250646,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_17_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.42,1.9786095,0.162,3.2787000968,,38.6,54.3,26.3842490842491,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_18_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.2,2.263635,0.191,3.7418740744,,26.3,42.2,39.9669719169719,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_19_2015,Westerfeld,2015,Plough+intensive,False,True,True,True,,,,,,,,90.5782945736434,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_19_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.36,1.7531312,0.144,2.92064564,,22.85,30.65,37.3694139194139,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_20_2015,Westerfeld,2015,Plough+extensive,False,True,True,True,,,,,,,,87.2263565891473,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_20_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.5,1.7718472,0.192,2.6972578228,,24.95,26.45,29.8437118437118,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_21_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.43,2.2025974,0.224,3.4862915916,,34.35,61.6,25.234188034188,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_21_2021,Westerfeld,2021,Cultivator+extensive,False,True,True,True,7.4,2.05,0.20500000000000002,3.5999999999999996,,19.7,42.150000000000006,111.009127971576,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_22_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.14,2.2488061,0.192,3.7220230764,,26.15,49.15,38.2157509157509,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_22_2021,Westerfeld,2021,Cultivator+intensive,False,True,True,True,7.4,2.0,0.2,3.55,,23.3,39.7,97.6988197674419,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_23_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.01,1.7141948,0.172,2.846415372,,17.35,24.5,36.817094017094,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_23_2021,Westerfeld,2021,Plough+intensive,False,True,True,True,7.2,1.52,0.16,2.6500000000000004,,10.6,22.1,106.825410077519,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_24_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.3,1.7274504,0.136,2.710510728,,21.45,28.15,27.1001221001221,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_24_2021,Westerfeld,2021,Plough+extensive,False,True,True,True,7.45,1.6,0.16,2.7,,12.7,22.9,108.342555943152,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_25_2015,Westerfeld,2015,Cultivator+extensive,False,True,True,True,,,,,,,,79.4560723514212,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_25_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.21,2.1484683,0.176,3.5787212656,,27.85,53.3,23.2840048840049,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_26_2015,Westerfeld,2015,Cultivator+intensive,False,True,True,True,,,,,,,,78.015503875969,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_26_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.81,2.3451171,0.229,3.9253685316,,18.1,46.8,38.2945054945055,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_27_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,5.93,1.7657451,0.149,3.046008886,,8.45,23.95,39.8489010989011,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_28_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,6.8,1.7117433,0.141,2.8969390884,,15.2,29.85,30.2261294261294,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_29_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.25,2.1402443,0.182,3.5651445932,,29.4,49.85,26.5934065934066,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_30_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.03,2.2207872,0.191,3.7716384172,,20.65,50.4,37.3283882783883,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_31_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,5.92,1.7271973,0.219,2.924663422,,8.95,24.6,39.4764346764347,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_32_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,6.44,1.6999548,0.141,2.8785596968,,13.35,30.9,32.6968864468865,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_49_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.48,2.1136825,0.171,3.3599825592,,40.55,45.95,60.1102067183463,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_50_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.36,2.1562649,0.188,3.5243487192,,28.55,34.0,60.1197674418605,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_51_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.41,1.7964294,0.149,2.9126011112,,35.85,25.65,58.0186046511628,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_52_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.27,1.8078595,0.145,2.9610968864,,22.5,21.15,54.878811369509,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_53_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.44,2.1845747,0.169,3.3001714824,,46.35,52.85,55.8364341085271,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_54_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.43,2.2512375,0.197,3.6419150028,,40.15,45.4,58.8804909560723,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_55_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.52,1.8283517,0.148,2.8810748404,,30.6,20.55,52.7852713178295,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_56_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.54,1.7748217,0.133,2.7528178604,,23.6,16.25,51.7426356589147,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_57_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.27,2.129,0.182,2.635163308,,36.85,45.1,56.6372093023256,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_58_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.11,2.2824003,0.189,3.8086123556,,27.15,37.95,56.8856589147287,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_59_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.53,1.758278,0.142,2.8144387924,,25.55,23.5,53.5264857881137,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_60_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.53,1.7374914,0.138,2.746295796,,25.5,20.9,49.5679586563308,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_61_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,6.81,2.1280132,0.178,3.544421596,,28.5,39.5,65.9204134366925,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_62_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,5.98,2.2778399,0.193,3.8966456572,,20.45,40.7,60.2147286821705,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_63_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.07,1.7587783,0.148,3.0108672148,,15.75,17.8,59.137984496124,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_64_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.17,1.7747324,0.148,2.9917434,,18.65,19.9,53.3488372093023,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_65_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.15,2.3262033,0.188,3.7131565444,,36.1,48.75,52.0,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_66_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.13,2.3098979,0.196,3.9303548568,,39.95,41.85,55.9,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_67_2015,Westerfeld,2015,Plough+intensive,False,True,True,True,,,,,,,,81.005684754522,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_67_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.56,1.755,0.131,2.8247660696,,18.8,17.75,56.1461386186047,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_68_2015,Westerfeld,2015,Plough+extensive,False,True,True,True,,,,,,,,54.0872093023256,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_68_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.48,1.6516242,0.124,2.5364837892,,21.05,16.9,60.2494642744186,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_69_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.38,2.0799353,0.163,3.30195996,,40.6,49.3,38.0,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_70_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.35,2.3158495,0.181,3.6425677092,,47.25,51.15,46.1,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_71_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.59,1.9446489,0.128,2.5090435708,,15.85,15.1,49.7604146232558,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_72_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.56,1.6599228,0.118,2.3833712116,,28.35,21.9,43.0603566976744,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_73_2015,Westerfeld,2015,Cultivator+extensive,False,True,True,True,,,,,,,,55.3463824289406,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_74_2015,Westerfeld,2015,Cultivator+intensive,False,True,True,True,,,,,,,,65.8651162790698,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_81_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.47,2.1012204,0.165,3.3651207688,,22.95,32.15,63.1303617571059,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_81_2020,Westerfeld,2020,Cultivator+extensive,False,True,True,True,7.5,2.005,0.16999999999999998,3.35,,10.399999999999999,19.8,93.8,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_82_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.19,2.4493159,0.216,4.1637380812,,20.55,41.25,68.6479328165375,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_82_2020,Westerfeld,2020,Cultivator+intensive,False,True,True,True,7.5,2.125,0.18,3.5,,8.95,19.85,126.4,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_83_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.53,1.9019592,0.155,2.9259728,,19.65,17.2,61.2418604651163,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_83_2020,Westerfeld,2020,Plough+intensive,False,True,True,True,7.45,1.875,0.16,3.15,,14.4,20.8,87.6,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_84_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.49,1.8336632,0.171,2.9112862164,,23.6,19.15,65.5509043927649,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_84_2020,Westerfeld,2020,Plough+extensive,False,True,True,True,7.5,1.845,0.155,3.05,,10.6,19.75,89.1,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_85_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.48,2.130078,0.194,3.5603356676,,21.65,35.5,61.7480620155039,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_85_2020,Westerfeld,2020,Cultivator+extensive,False,True,True,True,7.5,1.88,0.155,3.1,,10.25,20.2,96.9,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_86_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.47,2.3909454,0.193,3.8771077376,,24.95,35.0,68.3790697674419,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_86_2020,Westerfeld,2020,Cultivator+intensive,False,True,True,True,7.4,2.075,0.175,3.45,,8.3,20.75,102.9,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_87_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.25,1.8444449,0.155,3.0280975604,,15.45,15.1,62.0476744186046,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_87_2020,Westerfeld,2020,Plough+intensive,False,True,True,True,7.45,1.835,0.16,3.1500000000000004,,14.8,20.549999999999997,89.5,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_88_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.51,1.8271215,0.227,2.934494532,,22.85,19.4,63.8895348837209,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_88_2020,Westerfeld,2020,Plough+extensive,False,True,True,True,7.5,1.815,0.15,3.05,,12.45,19.4,92.6,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_89_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,6.92,2.0442391,0.221,3.4538617724,,13.35,27.65,63.5596899224806,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_90_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.66,2.5093346,0.247,4.3085985604,,13.95,35.3,62.1410852713178,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_91_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.29,1.7579623,0.151,2.883935646,,14.45,17.05,61.9562015503876,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_92_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.35,1.8234256,0.153,2.9949269384,,22.05,22.15,64.7828811369509,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_93_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.01,2.0979583,0.174,3.4398339292,,15.4,30.6,63.3593023255814,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_94_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.9,2.3267859,0.252,3.8945084144,,17.5,30.65,63.5714470284238,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_95_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.03,1.766257,0.157,3.0601863724,,10.9,14.95,63.4866279069767,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_96_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.44,1.7869259,0.144,2.97487406,,16.75,23.2,63.4866279069767,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_97_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.42,1.9786095,0.162,3.2787000968,,38.6,54.3,23.165811965812,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_97_2021,Westerfeld,2021,Cultivator+extensive,False,True,True,True,7.45,2.0,0.2,3.5,,16.200000000000003,38.35,98.7067451550388,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_98_2015,Westerfeld,2015,Cultivator+intensive,False,True,True,True,,,,,,,,72.9100775193798,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_98_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.2,2.263635,0.191,3.7418740744,,26.3,42.2,35.6351648351648,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_98_2021,Westerfeld,2021,Cultivator+intensive,False,True,True,True,7.15,2.2,0.22,3.8,,19.5,37.599999999999994,110.747948255814,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_99_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.36,1.7531312,0.144,2.92064564,,22.85,30.65,38.1959096459096,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_99_2021,Westerfeld,2021,Plough+intensive,False,True,True,True,7.4,1.55,0.155,2.7,,13.05,21.8,105.974468120155,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_100_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.5,1.7718472,0.192,2.6972578228,,24.95,26.45,28.0418192918193,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_100_2021,Westerfeld,2021,Plough+extensive,False,True,True,True,7.45,1.55,0.155,2.6500000000000004,,12.85,21.65,107.989488888889,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_101_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.43,2.2025974,0.224,3.4862915916,,34.35,61.6,22.9531135531136,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_101_2021,Westerfeld,2021,Cultivator+extensive,False,True,True,True,7.45,1.95,0.195,3.45,,14.8,36.05,106.272079844961,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_102_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.14,2.2488061,0.192,3.7220230764,,26.15,49.15,34.0043956043956,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_102_2021,Westerfeld,2021,Cultivator+intensive,False,True,True,True,7.4,2.1,0.21,3.6,,24.9,41.099999999999994,105.955273255814,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_103_2015,Westerfeld,2015,Plough+intensive,False,True,True,True,,,,,,,,78.646511627907,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_103_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,7.01,1.7141948,0.172,2.846415372,,17.35,24.5,35.3031746031746,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_103_2021,Westerfeld,2021,Plough+intensive,False,True,True,True,7.1,1.65,0.165,2.8499999999999996,,11.45,23.6,116.452396414729,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_104_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,7.3,1.7274504,0.136,2.710510728,,21.45,28.15,27.1252747252747,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_104_2021,Westerfeld,2021,Plough+extensive,False,True,True,True,7.4,1.6,0.16,2.8,,12.35,25.85,117.009270348837,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_105_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.21,2.1484683,0.176,3.5787212656,,27.85,53.3,24.6432234432234,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_106_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,6.81,2.3451171,0.229,3.9253685316,,18.1,46.8,35.0804029304029,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_107_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,5.93,1.7657451,0.149,3.046008886,,8.45,23.95,39.1218559218559,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_108_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,6.8,1.7117433,0.141,2.8969390884,,15.2,29.85,32.4023199023199,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_109_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.25,2.1402443,0.182,3.5651445932,,29.4,49.85,24.6432234432234,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_110_2015,Westerfeld,2015,Cultivator+intensive,False,True,True,True,,,,,,,,79.3348837209302,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_110_2019,Westerfeld,2019,Cultivator+intensive,False,True,True,True,7.03,2.2207872,0.191,3.7716384172,,20.65,50.4,34.748717948718,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_111_2015,Westerfeld,2015,Plough+intensive,False,True,True,True,,,,,,,,85.2434108527132,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_111_2019,Westerfeld,2019,Plough+intensive,False,True,True,True,5.92,1.7271973,0.219,2.924663422,,8.95,24.6,37.1332722832723,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_112_2019,Westerfeld,2019,Plough+extensive,False,True,True,True,6.44,1.6999548,0.141,2.8785596968,,13.35,30.9,31.3211233211233,yield_total,single-site factorial tillage/fertilization long-term trial
bonares_westerfeld,WESTERFELD_129_2019,Westerfeld,2019,Cultivator+extensive,False,True,True,True,7.48,2.1136825,0.171,3.3599825592,,40.55,45.95,56.5796511627907,yield_total,single-site factorial tillage/fertilization long-term trial
